C,gamma,MAE,R2
1,auto,54.12844487302092,0.8380379242664294
1,scale,55.02339156254604,0.8335291890823111
1,0.1,63.48533753539289,0.800066631874228
1,0.01,52.636554234362166,0.8446092436854047
1,0.001,51.99509984912455,0.8471715942750708
1,0.0001,52.71071367032256,0.8413883976229265
11,auto,108.16990216510919,0.5352382301967928
11,scale,105.04662743528192,0.5387021294216567
11,0.1,78.21086723987489,0.726760324407533
11,0.01,84.87299213298927,0.7107365399025074
11,0.001,51.970288954670565,0.8472540241189789
