C,gamma,MAE,R2
10,auto,44.64189430793863,0.5747959823858448
10,scale,60.684491806877645,0.38274146789447017
10,0.001,37.72123821817678,0.6018357302231971
10,0.01,42.31525123455003,0.5756082857099706
10,0.1,51.35054743695117,0.5043410579411854
20,auto,58.440359520384014,0.4727869496036705
20,scale,70.68848764360622,0.4431347410137893
20,0.001,39.28867917985621,0.579867150529942
20,0.01,54.927043071444935,0.36202088165748114
20,0.1,55.782767535650564,0.4500428008381799
30,auto,71.27095443993619,0.2505267588688275
30,scale,73.04045361202712,0.4358855489016939
