C,gamma,epsilon,MAE
1,auto,0.0001,41.0511361087904
1,scale,0.0001,41.05162787269512
1,0.001,0.0001,42.60481289819029
1,0.01,0.0001,41.696096918170895
1,0.1,0.0001,43.999424700343056
1,1,0.0001,229.8482644980971
1,10,0.0001,342.98173390431873
11,auto,0.0001,44.417161592629924
11,scale,0.0001,46.59744461217857
11,0.001,0.0001,42.4496975769937
11,0.01,0.0001,45.69573118304828
11,0.1,0.0001,48.092947795844566
11,1,0.0001,223.93687308520674
11,10,0.0001,345.82142001462853
21,auto,0.0001,48.88780512634928
21,scale,0.0001,53.021797882997205
21,0.001,0.0001,42.39729491535675
21,0.01,0.0001,46.68105570115743
21,0.1,0.0001,49.47666118324013
21,1,0.0001,223.93687308520674
21,10,0.0001,345.82142001462853
31,auto,0.0001,54.13970843193025
31,scale,0.0001,51.059749932996525
31,0.001,0.0001,42.46874046037209
31,0.01,0.0001,55.25964609206542
31,0.1,0.0001,50.42295346782663
31,1,0.0001,223.93687308520674
31,10,0.0001,345.82142001462853
41,auto,0.0001,58.480921834820194
41,scale,0.0001,52.79175375630457
41,0.001,0.0001,43.16600285878226
41,0.01,0.0001,73.11424061292516
41,0.1,0.0001,50.94480319131432
41,1,0.0001,223.93687308520674
41,10,0.0001,345.82142001462853
