,year,month,day,date,open,high,low,close,volume,dayOfweek,time
0,2019,1,2,02/01/2019 00:00,1.14612,1.14626,1.14543,1.14561,7150,Wednesday,0
1,2019,1,2,02/01/2019 01:00,1.14561,1.14563,1.14457,1.14521,11412,Wednesday,1
2,2019,1,2,02/01/2019 02:00,1.14521,1.14533,1.14426,1.14456,14688,Wednesday,2
3,2019,1,2,02/01/2019 03:00,1.14456,1.14487,1.14446,1.14457,5987,Wednesday,3
4,2019,1,2,02/01/2019 04:00,1.14456,1.14468,1.14426,1.14449,8058,Wednesday,4
5,2019,1,2,02/01/2019 05:00,1.1445,1.14788,1.14449,1.1478,12619,Wednesday,5
6,2019,1,2,02/01/2019 06:00,1.14779,1.14967,1.14769,1.14852,14775,Wednesday,6
7,2019,1,2,02/01/2019 07:00,1.14851,1.14931,1.14737,1.14766,20427,Wednesday,7
8,2019,1,2,02/01/2019 08:00,1.14744,1.1478,1.14286,1.1448,33743,Wednesday,8
9,2019,1,2,02/01/2019 09:00,1.1448,1.14496,1.14221,1.1434,28227,Wednesday,9
10,2019,1,2,02/01/2019 10:00,1.14341,1.14418,1.1432,1.14368,24874,Wednesday,10
11,2019,1,2,02/01/2019 11:00,1.14369,1.14389,1.14246,1.14336,22097,Wednesday,11
12,2019,1,2,02/01/2019 12:00,1.14336,1.1434,1.13979,1.14051,22671,Wednesday,12
13,2019,1,2,02/01/2019 13:00,1.14049,1.14055,1.13674,1.13716,34633,Wednesday,13
14,2019,1,2,02/01/2019 14:00,1.13716,1.13752,1.1358,1.13607,34275,Wednesday,14
15,2019,1,2,02/01/2019 15:00,1.13609,1.13696,1.13419,1.13535,31292,Wednesday,15
16,2019,1,2,02/01/2019 16:00,1.13535,1.13621,1.13487,1.13563,21540,Wednesday,16
17,2019,1,2,02/01/2019 17:00,1.13563,1.1357,1.13313,1.13352,22073,Wednesday,17
18,2019,1,2,02/01/2019 18:00,1.13351,1.13362,1.1326,1.13278,17674,Wednesday,18
19,2019,1,2,02/01/2019 19:00,1.13278,1.13441,1.1325,1.13434,15690,Wednesday,19
20,2019,1,2,02/01/2019 20:00,1.13436,1.13476,1.13404,1.13455,20629,Wednesday,20
21,2019,1,2,02/01/2019 21:00,1.13455,1.13477,1.134,1.13432,7700,Wednesday,21
22,2019,1,2,02/01/2019 22:00,1.13423,1.13541,1.13104,1.13359,8380,Wednesday,22
23,2019,1,2,02/01/2019 23:00,1.13359,1.13513,1.13092,1.13121,14818,Wednesday,23
24,2019,1,3,03/01/2019 00:00,1.13122,1.13467,1.13099,1.13397,14012,Thursday,0
25,2019,1,3,03/01/2019 01:00,1.13396,1.13525,1.13396,1.13484,17958,Thursday,1
26,2019,1,3,03/01/2019 02:00,1.13483,1.13615,1.13459,1.13581,17226,Thursday,2
27,2019,1,3,03/01/2019 03:00,1.13581,1.13715,1.13567,1.13648,14770,Thursday,3
28,2019,1,3,03/01/2019 04:00,1.13648,1.13678,1.13603,1.13672,8370,Thursday,4
29,2019,1,3,03/01/2019 05:00,1.13672,1.13698,1.13569,1.13609,15522,Thursday,5
30,2019,1,3,03/01/2019 06:00,1.13608,1.13765,1.13548,1.13722,14355,Thursday,6
31,2019,1,3,03/01/2019 07:00,1.13722,1.13768,1.13616,1.13696,26526,Thursday,7
32,2019,1,3,03/01/2019 08:00,1.13696,1.13838,1.1354,1.138,28632,Thursday,8
33,2019,1,3,03/01/2019 09:00,1.138,1.13839,1.13728,1.13757,22939,Thursday,9
34,2019,1,3,03/01/2019 10:00,1.13757,1.13794,1.13633,1.13682,22383,Thursday,10
35,2019,1,3,03/01/2019 11:00,1.13682,1.13717,1.13403,1.13414,22243,Thursday,11
36,2019,1,3,03/01/2019 12:00,1.13414,1.13553,1.13394,1.13435,19329,Thursday,12
37,2019,1,3,03/01/2019 13:00,1.13433,1.13669,1.13374,1.13654,26330,Thursday,13
38,2019,1,3,03/01/2019 14:00,1.13654,1.13723,1.13613,1.13644,29880,Thursday,14
39,2019,1,3,03/01/2019 15:00,1.13648,1.14092,1.13648,1.13927,45325,Thursday,15
40,2019,1,3,03/01/2019 16:00,1.13926,1.1411,1.13869,1.13983,37440,Thursday,16
41,2019,1,3,03/01/2019 17:00,1.13982,1.14058,1.13931,1.13987,26347,Thursday,17
42,2019,1,3,03/01/2019 18:00,1.13987,1.14067,1.13962,1.14006,21776,Thursday,18
43,2019,1,3,03/01/2019 19:00,1.14006,1.14038,1.13828,1.13912,20466,Thursday,19
44,2019,1,3,03/01/2019 20:00,1.13914,1.14013,1.13897,1.13982,21862,Thursday,20
45,2019,1,3,03/01/2019 21:00,1.13982,1.13995,1.13923,1.13924,6364,Thursday,21
46,2019,1,4,04/01/2019 00:00,1.13901,1.14054,1.13893,1.14052,14827,Friday,0
47,2019,1,4,04/01/2019 01:00,1.14052,1.14118,1.14027,1.1404,13882,Friday,1
48,2019,1,4,04/01/2019 02:00,1.14041,1.14076,1.13974,1.13976,10374,Friday,2
49,2019,1,4,04/01/2019 03:00,1.13975,1.13986,1.13881,1.13978,12120,Friday,3
50,2019,1,4,04/01/2019 04:00,1.1398,1.13985,1.139,1.13941,8560,Friday,4
51,2019,1,4,04/01/2019 05:00,1.13941,1.13982,1.13894,1.13899,8146,Friday,5
52,2019,1,4,04/01/2019 06:00,1.139,1.1394,1.13832,1.13932,9387,Friday,6
53,2019,1,4,04/01/2019 07:00,1.13933,1.14098,1.13919,1.14077,19666,Friday,7
54,2019,1,4,04/01/2019 08:00,1.14077,1.14167,1.14022,1.14079,19705,Friday,8
55,2019,1,4,04/01/2019 09:00,1.14081,1.14189,1.14024,1.14032,20925,Friday,9
56,2019,1,4,04/01/2019 10:00,1.14032,1.14085,1.13949,1.14039,18924,Friday,10
57,2019,1,4,04/01/2019 11:00,1.14041,1.14155,1.14028,1.14114,17955,Friday,11
58,2019,1,4,04/01/2019 12:00,1.14115,1.14139,1.14046,1.14057,20006,Friday,12
59,2019,1,4,04/01/2019 13:00,1.14057,1.14077,1.1363,1.13713,30801,Friday,13
60,2019,1,4,04/01/2019 14:00,1.13713,1.13728,1.1346,1.13535,36672,Friday,14
61,2019,1,4,04/01/2019 15:00,1.13535,1.14108,1.13456,1.14104,39687,Friday,15
62,2019,1,4,04/01/2019 16:00,1.14103,1.14177,1.13996,1.14086,27694,Friday,16
63,2019,1,4,04/01/2019 17:00,1.14086,1.14117,1.13933,1.14053,18736,Friday,17
64,2019,1,4,04/01/2019 18:00,1.14053,1.14106,1.14026,1.14039,14350,Friday,18
65,2019,1,4,04/01/2019 19:00,1.14039,1.14039,1.1394,1.14,19965,Friday,19
66,2019,1,4,04/01/2019 20:00,1.14001,1.14042,1.13956,1.14028,15829,Friday,20
67,2019,1,4,04/01/2019 21:00,1.14029,1.14033,1.13943,1.13943,5548,Friday,21
68,2019,1,7,07/01/2019 00:00,1.14102,1.14135,1.14046,1.14092,10442,Monday,0
69,2019,1,7,07/01/2019 01:00,1.14092,1.14229,1.14078,1.1421,11627,Monday,1
70,2019,1,7,07/01/2019 02:00,1.14211,1.14222,1.14171,1.142,7904,Monday,2
71,2019,1,7,07/01/2019 03:00,1.142,1.14255,1.14162,1.14225,8758,Monday,3
72,2019,1,7,07/01/2019 04:00,1.14225,1.14299,1.14202,1.14203,10318,Monday,4
73,2019,1,7,07/01/2019 05:00,1.14203,1.14247,1.142,1.14234,7290,Monday,5
74,2019,1,7,07/01/2019 06:00,1.14234,1.14272,1.14142,1.14164,11018,Monday,6
75,2019,1,7,07/01/2019 07:00,1.14167,1.14389,1.141,1.14362,21399,Monday,7
76,2019,1,7,07/01/2019 08:00,1.14364,1.14402,1.1428,1.14313,20221,Monday,8
