,year,month,day,date,open,high,low,close,volume,dayOfweek,time
0,2017,1,3,03/01/2017 00:00,1.04575,1.04711,1.04571,1.04661,3635,Tuesday,0
1,2017,1,3,03/01/2017 01:00,1.04661,1.04807,1.04643,1.04757,4833,Tuesday,1
2,2017,1,3,03/01/2017 02:00,1.04759,1.0478,1.04706,1.04719,2917,Tuesday,2
3,2017,1,3,03/01/2017 03:00,1.04719,1.04847,1.04712,1.04847,3689,Tuesday,3
4,2017,1,3,03/01/2017 04:00,1.04847,1.04898,1.04817,1.04882,2426,Tuesday,4
5,2017,1,3,03/01/2017 05:00,1.04882,1.04901,1.04814,1.04822,2723,Tuesday,5
6,2017,1,3,03/01/2017 06:00,1.04821,1.04891,1.04811,1.04882,3122,Tuesday,6
7,2017,1,3,03/01/2017 07:00,1.04882,1.04888,1.04534,1.04601,10577,Tuesday,7
8,2017,1,3,03/01/2017 08:00,1.04608,1.04657,1.04205,1.04349,16766,Tuesday,8
9,2017,1,3,03/01/2017 09:00,1.04352,1.04362,1.04001,1.04016,14473,Tuesday,9
10,2017,1,3,03/01/2017 10:00,1.04015,1.04165,1.03959,1.03964,11136,Tuesday,10
11,2017,1,3,03/01/2017 11:00,1.03965,1.03995,1.03811,1.03941,12283,Tuesday,11
12,2017,1,3,03/01/2017 12:00,1.0394,1.03943,1.0375,1.03889,13173,Tuesday,12
13,2017,1,3,03/01/2017 13:00,1.0389,1.03917,1.03816,1.03914,11392,Tuesday,13
14,2017,1,3,03/01/2017 14:00,1.03913,1.0408,1.03849,1.03892,12425,Tuesday,14
15,2017,1,3,03/01/2017 15:00,1.0389,1.03902,1.03403,1.03844,23807,Tuesday,15
16,2017,1,3,03/01/2017 16:00,1.03847,1.04338,1.03785,1.04153,24012,Tuesday,16
17,2017,1,3,03/01/2017 17:00,1.0415,1.04283,1.041,1.0427,9595,Tuesday,17
18,2017,1,3,03/01/2017 18:00,1.04269,1.04318,1.04134,1.04149,8944,Tuesday,18
19,2017,1,3,03/01/2017 19:00,1.04149,1.0415,1.04053,1.04108,6590,Tuesday,19
20,2017,1,3,03/01/2017 20:00,1.04107,1.04173,1.0402,1.0402,7765,Tuesday,20
21,2017,1,3,03/01/2017 21:00,1.04017,1.04069,1.04017,1.04054,3187,Tuesday,21
22,2017,1,3,03/01/2017 22:00,1.04051,1.04125,1.04034,1.04089,2322,Tuesday,22
23,2017,1,3,03/01/2017 23:00,1.04091,1.0424,1.04091,1.04174,6521,Tuesday,23
24,2017,1,4,04/01/2017 00:00,1.04174,1.04176,1.03921,1.03945,7301,Wednesday,0
25,2017,1,4,04/01/2017 01:00,1.03945,1.0402,1.039,1.03935,7953,Wednesday,1
26,2017,1,4,04/01/2017 02:00,1.03933,1.04062,1.03932,1.04055,6199,Wednesday,2
27,2017,1,4,04/01/2017 03:00,1.04055,1.0408,1.03976,1.04051,5218,Wednesday,3
28,2017,1,4,04/01/2017 04:00,1.04052,1.04094,1.04025,1.04025,4362,Wednesday,4
29,2017,1,4,04/01/2017 05:00,1.04025,1.04092,1.04016,1.04067,3867,Wednesday,5
30,2017,1,4,04/01/2017 06:00,1.04066,1.04145,1.03992,1.04062,5036,Wednesday,6
31,2017,1,4,04/01/2017 07:00,1.04062,1.04213,1.04055,1.04172,10251,Wednesday,7
32,2017,1,4,04/01/2017 08:00,1.04171,1.04401,1.04152,1.04336,15988,Wednesday,8
33,2017,1,4,04/01/2017 09:00,1.04336,1.04454,1.04282,1.04379,12971,Wednesday,9
34,2017,1,4,04/01/2017 10:00,1.04379,1.04438,1.04271,1.04324,12722,Wednesday,10
35,2017,1,4,04/01/2017 11:00,1.04324,1.0445,1.04274,1.04313,11900,Wednesday,11
36,2017,1,4,04/01/2017 12:00,1.04313,1.04413,1.04233,1.04336,12026,Wednesday,12
37,2017,1,4,04/01/2017 13:00,1.04341,1.0446,1.04278,1.04391,12855,Wednesday,13
38,2017,1,4,04/01/2017 14:00,1.04392,1.04636,1.04366,1.04622,16515,Wednesday,14
39,2017,1,4,04/01/2017 15:00,1.04624,1.04806,1.04536,1.04763,19485,Wednesday,15
40,2017,1,4,04/01/2017 16:00,1.04762,1.04916,1.04716,1.04753,14640,Wednesday,16
41,2017,1,4,04/01/2017 17:00,1.04754,1.04839,1.04693,1.04718,7626,Wednesday,17
42,2017,1,4,04/01/2017 18:00,1.04718,1.04825,1.04675,1.0478,5405,Wednesday,18
43,2017,1,4,04/01/2017 19:00,1.0478,1.04998,1.04517,1.04663,17240,Wednesday,19
