C,gamma,epsilon,MAE
1,auto,0.0001,40.48211646022989
1,auto,0.001,40.48421228524833
1,auto,0.01,40.50028780562365
1,auto,0.1,40.70748270076433
1,auto,1.0,151.71670749182803
1,scale,0.0001,40.48217178756592
1,scale,0.001,40.48169868834948
1,scale,0.01,40.499473873753516
1,scale,0.1,40.70531649235549
1,scale,1.0,151.57676707204482
1,0.01,0.0001,40.92956070900016
1,0.01,0.001,40.92859611435247
1,0.01,0.01,40.92744864461157
1,0.01,0.1,41.02211219299199
1,0.01,1.0,75.3335123995181
1,0.1,0.0001,40.17013804776704
1,0.1,0.001,40.16958161689655
1,0.1,0.01,40.154273976284045
1,0.1,0.1,40.328423571009125
1,0.1,1.0,162.78608714850782
1,1,0.0001,38.664739391533374
1,1,0.001,38.660865409309295
1,1,0.01,38.683618194430636
1,1,0.1,39.56211903660588
1,1,1.0,204.53435880001638
1,10,0.0001,31.72109343159977
1,10,0.001,31.722220060444478
1,10,0.01,31.70727289747895
1,10,0.1,37.069374998403035
1,10,1.0,231.83399126452562
11,auto,0.0001,40.30799421225874
11,auto,0.001,40.30598596351349
11,auto,0.01,40.29213259876326
11,auto,0.1,40.555195372303686
11,auto,1.0,151.2390021710493
11,scale,0.0001,40.30936231493894
11,scale,0.001,40.30316516088767
11,scale,0.01,40.293718570991345
11,scale,0.1,40.555072280845536
11,scale,1.0,151.22711723368047
11,0.01,0.0001,40.755052952467466
11,0.01,0.001,40.759243113246534
11,0.01,0.01,40.75529117932392
11,0.01,0.1,40.925530927145665
11,0.01,1.0,75.21803337670993
11,0.1,0.0001,39.81707250457622
11,0.1,0.001,39.8144199900281
11,0.1,0.01,39.8174121734603
11,0.1,0.1,40.16375602752707
11,0.1,1.0,162.66897505070017
11,1,0.0001,37.81144446603673
11,1,0.001,37.8008463824916
11,1,0.01,37.72923790380446
11,1,0.1,39.20238048024739
11,1,1.0,204.56701605403703
11,10,0.0001,27.966249656939638
20,10,0.0001,29.604036674479687
